region,reg_start,reg_fin,loc_start,loc_fin,dop_reg_s,dop_reg_f,dop_reg_s1,dop_reg_f1
federal,89767,89887,0,0,0,0
Красноярский край,795128,796146,583171,604167,6304824,6304842,15916663,15916684,125807102,125807123,285034459,285034517
Саха,2135312,2135348,2435116,2444468,294294281,294294288
Сахалин,1965854,1965874,2456801,2460575,0,0
ХМАО,1967498,1967579,2508316,2514361,0,0
Ростов,802562,802908,683973,714476,0,0
Ставрополь,1967345,x,2473862,2479054
