id,FULL_NAME,REGION,CITY,DISTRICT,LOCALITY,CLASS_OF_ROAD,ROAD_CATEGORY,LENGTH_POPIKETNO,ROADWAY_WIDTH,RANKS,COATING,COST,TRAFFIC_INTENSITY,TOP_SPEED,THROUGHPUT,ROAD_PART,CORE_NETWORK,VALUE_OF_THE_ROAD,DATA_CONFIRMATION,CONFIRM_USER,PLANNING_STRUCTURE,CATEGORY_SNIP,EMERGENCY_SECTION,ROAD_PART_OVERLOADED,CRITERION,DATA_EXPL,SQUARE,LOCATION_START,INTERNATIONAL,IDENTIFICATION_NUMBER_SECTION,NORM_PERCENTAGE,TIME_CONFIRMATION,SUBGRADE_WIDTH,HUMIDIFICATION_COND,OSTATOK,IS_CHECKED,UCHET_NUMBER,CLIMATIC_ZONE,BALANCE_STOIM,INTRACITY_TERRITORY,MESSAGE,geometry
200041006,Автомобильная дорога по ул.Садовой от д.1 до д.34 в д. Третьяковка (0+000 - 1+500),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200041016,ул Акутихинская (0+000 - 1+500),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200041052,ул Благодатная (0+000 - 0+370),,,,,,,,,,,,,,,,,,,,,,,,,,1480.0,,,,,,,,,,,,170.2,,,
200041093,пер Саратовский (0+000 - 0+174),,,,,,,,,,,,,,,,,,,,,,,,,,522.0,,,,,,,,,,,,,,,
200041143,ул Монтикова (0+000 - 3+199),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200041187,ул Железнодорожная (0+000 - 1+200),,,,,,,,,,,,,,,,,,,,,,,,,,6000.0,,,,,,,,,,,,1441620.0,,,
200041219,ул Лермонтова (0+000 - 0+800),,,,,,,,,,,,,,,,,,,,,,,,,,2400.0,,,,,,,,,,,,120.71,,,
200041254,6 проезд от ул. Центральная до ул. Набережная (0+000 - 0+200),,,,,,,,,,,,,,,,,,,,,,,,,,800.0,,,,,,,,,,,,,,,
200041294,Айкино - Кослан от автомобильной дороги Вогваздино - Яренск (75+142 - 79+963),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200041306,ул Амурская (0+000 - 0+600),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200041390,ул Весенняя (0+000 - 0+600),,,,,,,,,,,,,,,,,,,,,,,,,,2100.0,,,,,,,,,,,,241.5,,,
200041408,пер Степной (0+000 - 0+500),,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,,,,,,,,,,,,7.5,,,
200041455,ул Краснофлотская (0+000 - 0+450),,,,,,,,,,,,,,,,,,,,,,,,,,1350.0,,,,,,,,,,,,,,,
200041443,Буньково - Балахонки (0+000 - 7+720),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200041491,пер Школьный (0+000 - 0+354),,,,,,,,,,,,,,,,,,,,,,,,,,2124.0,,,,,,,,,,,,0.001,,,
200041541,от х Кривовский до х Сазоновский (0+000 - 1+871),,,,,,,,,,,,,,,,,,,,,,,,,,8419.5,,,,,,,,,,,,0.0,,,
200041568,пер Лермонтова (0+000 - 0+900),,,,,,,,,,,,,,,,,,,,,,,,,,2700.0,,,,,,,,,,,,135.808,,,
200041674,7 проезд от ул. Центральная до ул. Набережная (0+000 - 0+120),,,,,,,,,,,,,,,,,,,,,,,,,,480.0,,,,,,,,,,,,,,,
200041716,ул Полевая (0+000 - 0+280),,,,,,,,,,,,,,,,,,,,,,,,,,1120.0,,,,,,,,,,,,128.8,,,
200041767,ул Садовая (0+000 - 0+200),,,,,,,,,,,,,,,,,,,,,,,,,,1400.0,,,,,,,,,,,,,,,
200041820,"М-2 ""Крым"" - Москва - Тула - Орел - Курск - Белгород - граница с Украиной, км 476 + 230 - 478 + 620 (476+230 - 478+620)",,,,,,,,,,,,,,,,,,,,,,,,,,16730.0,,,,,,,,,,,,198858.003,,,
200041833,ул. Лесная (0+000 - 0+020),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200041899,ул Луговая (0+000 - 1+600),,,,,,,,,,,,,,,,,,,,,,,,,,4800.0,,,,,,,,,,,,241.437,,,
200041934,от х Криушинский до х Зотов (0+000 - 3+547),,,,,,,,,,,,,,,,,,,,,,,,,,26568.0,,,,,,,,,,,,0.0,,,
200041995,проезд от с Старая Иванцовка до животноводческой точки ЛПХ А М Милаева (0+000 - 4+300),,,,,,,,,,,,,,,,,,,,,,,,,,25800.0,,,,,,,,,,,,387.0,,,
200042024,ул Вишневая (0+000 - 1+930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200042054,пер Центральный (0+000 - 0+120),,,,,,,,,,,,,,,,,,,,,,,,,,480.0,,,,,,,,,,,,3.0,,,
200042081,ул Гагарина (0+000 - 0+141),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200042089,ул Советская (0+000 - 0+217),,,,,,,,,,,,,,,,,,,,,,,,,,1519.0,,,,,,,,,,,,,,,
200042156,ул Красный Луч (0+000 - 0+400),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200042162,ул Кооперативная (0+000 - 3+900),,,,,,,,,,,,,,,,,,,,,,,,,,11700.00,,,,,,,,,,,,2448.657,,,
200042193,ул Западная (0+000 - 0+400),,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,,,,,,,,,,,,297040.0,,,
200042259,от х Криушинский до х Уваровский (0+000 - 9+015),,,,,,,,,,,,,,,,,,,,,,,,,,26568.0,,,,,,,,,,,,0.0,,,
200042278,ул Советская (0+000 - 1+400),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200042323,проезд от ул Дружбы до ул Первомайская (0+000 - 0+673),,,,,,,,,,,,,,,,,,,,,,,,,,4038.0,,,,,,,,,,,,60.57,,,
200042414,ул Школьная (0+000 - 0+577),,,,,,,,,,,,,,,,,,,,,,,,,,4039.0,,,,,,,,,,,,,,,
200042464,"ст. Кривецкая - Мантурово - ""Лукьяновка - Тим - ""Курск - Борисоглебск"" (0+000 - 22+200)",,,,,,,,,,,,,,,,,,,,,,,,,,140700.0,,,,,,,,,,,,229642.891,,,
200042469,ул Зеленая (0+000 - 0+300),,,,,,,,,,,,,,,,,,,,,,,,,,1200.0,,,,,,,,,,,,178224.0,,,
200042521,ул Мичурина (0+000 - 0+400),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200042543,ул Интернациональная (0+000 - 0+574),,,,,,,,,,,,,,,,,,,,,,,,,,3444.0,,,,,,,,,,,,1.0,,,
200042576,ул М.Расковой (0+000 - 1+300),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200042568,ул Молодежная (0+000 - 0+800),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200042616,пр-д Парковый (0+000 - 0+307),,,,,,,,,,,,,,,,,,,,,,,,,,1842.00,,,,,,,,,,,,123.63,,,
200042609,ул Центральная (0+000 - 0+400),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200042692,ул Юбилейная (0+000 - 0+800),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
